PCON21CD,PCON21NM,SAM_WPC_DEC_2020_UK_AREAEHECT,SAM_PCON_DEC_2021_UK_AREAEHECT,EOTR_Diff,Reason,SAM_WPC_DEC_2020_UK_AREACHECT,SAM_PCON_DEC_2021_UK_AREACHECT,CtoC_Diff,Reason,SAM_WPC_DEC_2020_UK_AREAIHECT,SAM_PCON_DEC_2021_UK_AREAIHECT,ILW_Diff,Reason,SAM_WPC_DEC_2020_UK_AREALHECT,SAM_PCON_DEC_2021_UK_AREALHECT,LC_Diff,Reason
E14000684,Eastbourne,5612.14,5612.14,0,,5495.15,5495.15,0,,0,0,0,,5495.15,5495.15,0,
E14000685,Eastleigh,7815.11,7814.77,0.34,,7254.29,7254.18,0.11,,0,0,0,,7254.29,7254.18,0.11,
E14000686,Eddisbury,71244.99,71244.99,0,,71244.99,71244.99,0,,0,0,0,,71244.99,71244.99,0,
E14000687,Edmonton,1974.47,1974.47,0,,1974.47,1974.47,0,,136,136.93,-0.93,,1837.54,1837.54,0,
E14000688,Ellesmere Port and Neston,14087.73,14087.73,0,,12307.11,12307.11,0,,0,0,0,,12307.11,12307.11,0,
E14000689,Elmet and Rothwell,24601.24,24601.24,0,,24601.24,24601.24,0,,0,0,0,,24601.24,24601.24,0,
E14000690,Eltham,2159.71,2159.72,-0.01,,2159.71,2159.72,-0.01,,0,0,0,,2159.71,2159.72,-0.01,
E14000691,Enfield North,3727.22,3727.22,0,,3727.22,3727.22,0,,0,0,0,,3727.22,3727.22,0,
E14000692,"Enfield, Southgate",2517.34,2517.34,0,,2517.34,2517.34,0,,0,0,0,,2517.34,2517.34,0,
E14000693,Epping Forest,12624.56,12624.56,0,,12624.56,12624.56,0,,0,0,0,,12624.56,12624.56,0,
E14000694,Epsom and Ewell,5173.95,5173.95,0,,5173.95,5173.95,0,,0,0,0,,5173.95,5173.95,0,
E14000695,Erewash,6004.3,6004.3,0,,6004.3,6004.3,0,,0,0,0,,6004.3,6004.3,0,
E14000696,Erith and Thamesmead,2672.85,2672.99,-0.14,,2331.25,2331.39,-0.14,,0,0,0,,2331.25,2331.39,-0.14,
E14000697,Esher and Walton,8054.76,8054.76,0,,8054.76,8054.76,0,,128,128.2,-0.2,,7926.56,7926.56,0,
E14000698,Exeter,3809.29,3809.29,0,,3795.42,3795.42,0,,0,0,0,,3795.42,3795.42,0,
E14000699,Fareham,6653.34,6652.83,0.51,,6325.63,6324.88,0.75,,0,0,0,,6325.63,6324.88,0.75,
E14000700,Faversham and Mid Kent,39075.56,39072.56,3,,38806.31,38806.31,0,,0,0,0,,38806.31,38806.31,0,
E14000701,Feltham and Heston,2982.41,2982.41,0,,2982.41,2982.41,0,,0,0,0,,2982.41,2982.41,0,
E14000702,Filton and Bradley Stoke,9663.83,9663.83,0,,8069.99,8069.99,0,,0,0,0,,8069.99,8069.99,0,
E14000703,Finchley and Golders Green,2081.85,2081.85,0,,2081.85,2081.85,0,,0,0,0,,2081.85,2081.85,0,
E14000704,Folkestone and Hythe,44241.21,44241.21,0,,43386.58,43386.58,0,,0,0,0,,43386.58,43386.58,0,
E14000705,Forest of Dean,62028,62024.06,3.94,,58370.76,58370.76,0,,0,0,0,,58370.76,58370.76,0,
E14000706,Fylde,19102.4,19012.46,89.94,Change in Foreshore,17389.91,17389.96,-0.05,,0,0,0,,17389.91,17389.96,-0.05,
E14000707,Gainsborough,120305.84,120305.84,0,,120113.82,120113.82,0,,0,0,0,,120113.82,120113.82,0,
E14000708,Garston and Halewood,6365.63,6365.63,0,,5100.81,5100.81,0,,0,0,0,,5100.81,5100.81,0,
E14000709,Gateshead,2552.82,2552.82,0,,2460.57,2460.57,0,,0,0,0,,2460.57,2460.57,0,
E14000710,Gedling,3813.59,3813.59,0,,3813.59,3813.59,0,,0,0,0,,3813.59,3813.59,0,
E14000711,Gillingham and Rainham,4180.26,4180.26,0,,3038.64,3038.64,0,,0,0,0,,3038.64,3038.64,0,
E14000712,Gloucester,3799.34,3799.34,0,,3771.99,3771.99,0,,0,0,0,,3771.99,3771.99,0,
E14000713,Gosport,3896.4,3896.4,0,,3637.77,3637.77,0,,0,0,0,,3637.77,3637.77,0,
E14000714,Grantham and Stamford,68570.88,68570.88,0,,68570.88,68570.88,0,,0,0,0,,68570.88,68570.88,0,
E14000715,Gravesham,10495.88,10495.88,0,,9899.13,9899.13,0,,0,0,0,,9899.13,9899.13,0,
E14000716,Great Grimsby,3041.32,3041.32,0,,2813.17,2813.17,0,,0,0,0,,2813.17,2813.17,0,
E14000717,Great Yarmouth,18255.55,18255.55,0,,17431.41,17431.41,0,,0,0,0,,17431.41,17431.41,0,
E14000718,Greenwich and Woolwich,1903.73,1903.72,0.01,,1680.46,1680.45,0.01,,0,0,0,,1680.46,1680.45,0.01,
E14000719,Guildford,18864.97,18864.97,0,,18864.97,18864.97,0,,0,0,0,,18864.97,18864.97,0,
E14000720,Hackney North and Stoke Newington,906.1,906.1,0,,906.1,906.1,0,,0,0,0,,906.1,906.1,0,
E14000721,Hackney South and Shoreditch,998.29,998.29,0,,998.29,998.29,0,,0,0,0,,998.29,998.29,0,
